Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3124.24592799961/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xe5fce71071909c5381fb780a09971b94fc517eb3e4d50f97641d36a84b265fd9,22929369,1752640211,16/07/25 04:30,0x0a7da29599a326568c88ef1ff2fb2f42262090fd,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,2.61767E-05,0.081782376,,,,Mint
0xc450b3d15d221037bd106e726f887251ad41c5e0cadbcbb8170a3cd1a31e1421,22929342,1752639887,16/07/25 04:24,0x0a7da29599a326568c88ef1ff2fb2f42262090fd,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,2.4599E-05,0.076853181,,,,Mint
0x43c4ede96f10876ab0dc71885a595e8c55c28526c510cfe9ca29578b6d5e20b3,22929251,1752638783,16/07/25 04:06,0x0a7da29599a326568c88ef1ff2fb2f42262090fd,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,2.32861E-05,0.072751507,,,,Mint
0x5b7e9bd6f3635153c95e8f2ca3fe4e310aee71f9d638f597876d969b25bc592e,22928428,1752628847,16/07/25 01:20,0x0a7da29599a326568c88ef1ff2fb2f42262090fd,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,6.18935E-05,0.193370663,,,,Mint
0x218f0908d201d35eb85ab1469c9d8897bd2005b4de1075ea4bfb1616351ec770,22928243,1752626603,16/07/25 00:43,0x0a7da29599a326568c88ef1ff2fb2f42262090fd,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,4.79886E-05,0.14992827,,,,Mint
0x9467390d3ec0ef9ca34b146784fae40bd25cec2e7d3552c5f3229838845c8fd6,22927837,1752621719,15/07/25 23:21,0x0a7da29599a326568c88ef1ff2fb2f42262090fd,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,8.93979E-05,0.279300914,3139.33,,,Mint
0x473e790c54f5e565e7ebdb727311d925672f8ad054099fbc089d36bb7ef3f8a2,22927772,1752620939,15/07/25 23:08,0x0a7da29599a326568c88ef1ff2fb2f42262090fd,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,0.000109362,0.341672484,3139.33,,,Mint
0xaee3e51a7231d62ddcdfdccaf927f4c22f322df5a7d6049bbc161bb9970ba5a5,22927633,1752619271,15/07/25 22:41,0x0a7da29599a326568c88ef1ff2fb2f42262090fd,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,4.18693E-05,0.130810001,3139.33,,,Mint
0xa003a87384ec5b43f23bb93d19e010f04cfa142b7e3cc877389caab4f22726c7,22927563,1752618431,15/07/25 22:27,0x0a7da29599a326568c88ef1ff2fb2f42262090fd,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,4.56078E-05,0.14248983,3139.33,,,Mint
0x53203886047c08bde76db6a93ec11426e89623334aa74ff34a610b6d6c551037,22927539,1752618143,15/07/25 22:22,0x0a7da29599a326568c88ef1ff2fb2f42262090fd,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,4.51111E-05,0.140938233,3139.33,,,Mint
