Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3115.61343169412/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x124b45f6f7a9c1dcbd207804d4522e1c88b2f9d28782b2e14b6002f8f3b57b46,22886575,1752123887,10/07/25 05:04,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,2.83102E-05,0.088203773,2951.31,,,Mint
0xb7b1b930e40ff2e8458c4f3141ace5a48e4972a04d436c1774e5e320d0364411,22886584,1752123995,10/07/25 05:06,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,3.01093E-05,0.093808821,2951.31,,,Mint
0xe79bbadc62e6c7f8832dfdb75fb41e6ef2f6bd11fc0a7d63109e5fc92c40bbe2,22886634,1752124607,10/07/25 05:16,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,3.50163E-05,0.1090973,2951.31,,,Mint
0x89051a51563cd6ca41082fec6795e756b710fcc2de1daf78059dd3e6949921af,22886727,1752125747,10/07/25 05:35,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,3.83093E-05,0.119356985,2951.31,,,Mint
0x39fcb51b20aa7c3523ab51f5f444badb8a526853dc0b9f86e05aaf0199726eac,22886737,1752125867,10/07/25 05:37,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,3.82124E-05,0.119054951,2951.31,,,Mint
0xbd23766e354fcc4780ffe0d10d8136b77cbb25a97e240a513b5fed485a20df67,22886821,1752126875,10/07/25 05:54,0x0a7da29599a326568c88ef1ff2fb2f42262090fd,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,5.37549E-05,0.167479622,2951.31,,,Mint
0x05d47eae3f605bf89369cb3b2300b3abff43c46086a5948d97d49f7b4f60a1d8,22886853,1752127259,10/07/25 06:00,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,5.09766E-05,0.158823421,2951.31,,,Mint
0x1d4d2ec578449d950d003d84dc7ff1b03c5291592775f74e6503fbc619fad7fb,22886879,1752127583,10/07/25 06:06,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,5.15439E-05,0.160590727,2951.31,,,Mint
0x7f6f5cb7ecebcbf0c7cc772a316b6be7ba2197b2772dc13a7d2f9738622826c7,22886891,1752127727,10/07/25 06:08,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,5.18738E-05,0.161618654,2951.31,,,Mint
0x7ae7b4fc312ad7705b148116f9d73dcd60554dd5ee901c56bbff58dfa5e52280,22886977,1752128759,10/07/25 06:25,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,4.55076E-05,0.141784117,2951.31,,,Mint
0xae31ea2a2d12ddd3f862b7a2f1770bd88058cc5e6b9be307cb0d49beb44a3ced,22887034,1752129443,10/07/25 06:37,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,5.4305E-05,0.169193268,2951.31,,,Mint
0x01ad5a64926e2408293fa18c037c83d5dcb82fac2c4bd32eaaebff9e8bd73b60,22887075,1752129947,10/07/25 06:45,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,4.36656E-05,0.136045143,2951.31,,,Mint
0xdb2510b039fc26fd07b99836103f6730b290fc1eacdcf915da83509fb915862b,22887104,1752130307,10/07/25 06:51,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,4.14298E-05,0.129079314,2951.31,,,Mint
0xba5df128b0a8ff45e0d4878fe2e4e39e16933aa93dd36de5f4f753a9edf4784c,22887118,1752130475,10/07/25 06:54,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,3.69758E-05,0.115202397,2951.31,,,Mint
0x677b9d47bb518ec2d9bacdb8eeb57bb150b7ed3aae2c1c30495b0b7afded0842,22887132,1752130643,10/07/25 06:57,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,3.82885E-05,0.119292061,2951.31,,,Mint
0xe6157f8e2a9ca35180be9f307ee3ec31bb0b861b122c4c199b2ea25f44b9a850,22887153,1752130895,10/07/25 07:01,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,4.21035E-05,0.131178277,2951.31,,,Mint
0x43b3793523e86b5a338d19376285356d672f3f2d1293228b5333cc37e3e65376,22887164,1752131027,10/07/25 07:03,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,3.94162E-05,0.122805563,2951.31,,,Mint
0x0d86243c79f65b2ec4142012117395e293406de7090279b4eed9f0eef688a77a,22887301,1752132683,10/07/25 07:31,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,0.000111877,0.348564307,2951.31,,,Mint
0x85f733d66da68c61d9c96adf985eb97bdbc16a2890c1eb06f34755716c0c01da,22887306,1752132743,10/07/25 07:32,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,9.99655E-05,0.311453753,2951.31,,,Mint
0x02a43429c2e755ed3a4da00fc0a1e7063e1a36e5e01f1ee82b9b5198db8c48e9,22887348,1752133247,10/07/25 07:40,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,0.000101197,0.315291434,2951.31,,,Mint
0x501cac561044e3156adfdf34cc3d27cff5c8b87c65f2fb472d7410dead89554e,22887371,1752133523,10/07/25 07:45,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,9.35939E-05,0.291602317,2951.31,,,Mint
0xd351bbacfce8d97770248a44f83b7c708b540c1ca998c21542a1e5791c32a73a,22887377,1752133595,10/07/25 07:46,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,9.9731E-05,0.310723197,2951.31,,,Mint
0xa649c0cd9cf9dc94b90fb303d4e34690936d289bd9ef8e1fb4efa8cd274797a4,22887391,1752133763,10/07/25 07:49,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,0.000106662,0.332318841,2951.31,,,Mint
0xcc9fe49f7f31a761d0b4a1fede9a11319c87614e523cfcc7d127925c06413e87,22887418,1752134087,10/07/25 07:54,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,8.68603E-05,0.270623059,2951.31,,,Mint
0x93d60ae1c104fc0d77e823bd4d19ecc56f0ed10b8a2f5e072dd18c433780063b,22887483,1752134867,10/07/25 08:07,0x0559d4f52c63732853ac1f4c50b6f293cee0b646,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,,0,0,0,8.65872E-05,0.269772186,2951.31,,,Mint
